Infitiv,Perfekt (ich),Übersetzung
herunterladen,habe heruntergeladen,to download
hochladen,habe hochgeladen,to upload
ersetzen,habe ersetzt,to replace
ruckgeben,habe ruckgegeben,to return
setzen,habe gesetzt,to put
weg nehmen,habe weg genohmen,to remove
lösen,habe gelöst,to solve
aktualisieren,habe aktualisiert,to update
hinzufügen,habe hinzugefügt,to add
entfernen,habe entfernt,to remove
trennen,habe getrennt,to split
verbinden,habe verbunden,to join
verwenden,habe verwendet,to use
rücksetzen,habe rückgesetzt,to reset (1)
ausschalten,habe ausgeschalt,to switch off (electronic device)
anchalten,habe angeschalt,to switch on
schliessen,habe geschlossen,to close (window)
öffnen,habe geöffnet,to open
durchlaufen,habe durchgelaufen,to execute (tests)
enthalten,habe enthalten,to contain/include
verändern,habe verändert,to modify/alter
bearbeiten,habe bearbeitet,to edit (file)
kopieren,habe kopiert,to copy (file)
ausschneiden,habe ausgeschnitten,to cut (file)
einfügen,habe eingefügt,to paste
aufräumen,habe aufgeräumt,to sort out/clean
absagen,habe abgesagt,to cancel (meeting)
abbrechen,habe abgebrochen,to cancel (dialog)
verstecken,habe versteckt,to hide
verfügen,habe verfügt,to consist
bestimmen,habe bestimmt,to determine
berechnen,habe berechnet,to calculate
drucken,habe gedruckt,to print
exportieren,habe exportiert,to export
ausführen,habe ausgeführt,to execute (file)
zeigen,habe gezeigt,to show
zurücksetzen,habe zurückgesetzt,to reset (2)
speichern,habe gespeichert,to save (file)
wiederherstellen,habe wiederherstelt,to restore
zuordnen,etwas ist zugeordnet,to assign
veranstalten,habe veranstaltet,to admin
benennen,habe benannt,to name
umbenennen,habe umbennant,to rename
verteilen,habe verteilt,to distribute
ansteigen,bin angestiegen,to increase (trend)
verringern,habe verringert,to decrease
weitermachen,habe weitergemacht,to continue
erweitern,habe erweitert,to expand
bauen,habe gebaut,to build
gestalten,habe gestaltet,to design
planen,habe geplant,to plan/schedule
beanworten,habe beanwortet,to answer
veröffentlichen,habe veröffentlicht,to publish/release
vorbereiten,habe vorbereitet,to prepare
übernehmen,habe übergenommen,to adopt/take care
übertragen,habe übergetragt,to transfer
abschicken,habe abgeschickt,to send
erwarten,habe erwartet,to expect
abfragen,habe abgefragt,to make a request
akzeptieren,habe akzeptiert,to accept
ablehnen,habe abgelehnt,to refuse
überprüfen,habe übergeprüft,to check
teilnehmen,habe teilgennomen,to participate
untersuchen,habe untersucht,to investigate
organisieren,habe organisiert,to organize
installieren,habe installiert,to install
anpassen,habe angepasst,to adjust
übermitteln,habe übermittelt,to forward
umsetzen,habe umgesetzt,to implement (1)
anstellen,habe angestellt,to hire
feuern,habe gefeuert,to fire
anwenden,habe angewendet,"to apply (feature, migration...)"
entwickeln,habe entwickelt,to develop
bezeichnen,habe bezeichnet,to denominate/identify
verschieben,habe verschoben,to postpone/move (file)
diferenzieren,habe diferenziert,to distinguish
integrieren,habe integriert,to integrate
erkennen,habe erkannt,to recognize/discover
besprechen,habe besprochen,to discuss
erhalten,habe erhalten,to receive
scheitern,habe gescheitert,to fail
anfangen,habe angefangen,to start
imitieren,habe imitiert,to fake
begrenzen,habe begrenzt,to limit
schaffen,habe geschafft,to accomplish
verbessern,habe verbessert,to improve
behalten,habe behalten,to keep
erhöhen,habe erhöht,to increase (2)
begegnen,habe begegnet,to face/confront
verursachen,habe verursacht,to provoke
erklären,habe erklärt,to clarify
implementieren,habe implementiert,to implement (2)
schlechter machen,habe schlechter gemacht,to worsen
kaputtgehen,bin kaputtgegangen,to break something
erlauben,habe erlaubt,to allow
verbieten,habe verboten,to forbit
packen,habe gepackt,to compress
entpacken,habe entpackt,to uncompress
extrahieren,habe extrahiert,to extract
überschreiben,habe überschrieben,to sign
verhindern,habe verhindert,to prevent
wiederbenutzen,habe wiederbenutzt,to re-use
kommentieren,habe kommentiert,to comment
passen,habe gepasst,to fit/suit
beheben,habe behoben,to fix (bug)
herunterfahren,bin heruntergefahren,to switch off (computer)
sperren,habe gesperrt,to block
anmelden,habe angemeldet,to login
abmelden,habe abgemeldet,to logout
unterbrechen,habe unterbrochen,to interrupt
berichtigen,habe berichtigt,to correct
ermöglichen,habe ermöglicht,to make possible/enable
vorgehen,bin vorgegangen,to proceed
konvertieren,habe konvertiert,to convert/transform
darstellen,habe dargestellt,to represent
anhalten,habe angehalten,to stop/pause
beenden,habe beendet,to end
starten,habe gestartet,to start
fortsetzen,habe forgesetzt,to resume
auslösen,habe ausgelöst,to trigger
messen,habe gemessen,to measure
mitteilen,habe mitgeteilt,to share
auflisten,habe aufgelistet,to list
formatieren,habe formatiert,to format
sortieren,habe sortiert,to sort
herstellen,habe hergestellt,to produce (.tar file creation)
wechseln,habe gewechselt,to change (folders)
zählen,habe gezählt,to count
navigieren,habe navigiert,to navigate (browser)
festlegen,habe festgelegt,"to set (new password, file in background)"
eingeben,habe eingegen,to input (form)
vermuten,habe vermutet,to assume
testen,habe getestet,to test
abhängen,habe abgehängt,to depend
auswählen,habe ausgewählt,to select
freigeben,habe freigegeben,to unblock
verknüpfen,habe verknüpft,to link/connect
anheften,habe angeheftet,to stick in (sidebar)
behandeln,habe behandelt,to handle
einrichten,habe eingerichtet,to print (page)
ignorieren,habe ignoriert,to ignore
feststehen,habe festgestanden,to be certain
gelingen,habe gelungen,to succeed
bewilligen,habe bewilligt,to authorize
schätzen,habe geschätzt,to appreciate
bestätigen,habe bestätigt,to confirm
reproduzieren,habe reproduziert,to reproduce
übersteuern,habe übersteuert,to override
ausprobieren,habe ausprobiert,to try
leeren,habe geleert,to empty