Wörter,Übersetzung
die Schleife,loop
die Bedingung/Verzweigung,conditional
das Ergebnis,result
die Datei,file
das Verzeichnis/der Ordner,folder
die Reihenfolge,sequence
die Ordnung,order
der Monitor,monitor
die Applikation,application
die Firma,company
der Fehler,error
die Zeile,line
der Buchstabe,letter (character)
die Ruckgabe,return
der Ausdruck,expression
die Anweisung,instruction
die Klausel,clausula
der Durchschnitt,average
der Vorschlag,suggestion/proposal
die Einschränkung,limitation
der Vorgang,process
das Verhalten,behavior
die Eingabe,input
die Ausgabe,output
das Kürzel,abbreviation
die Umsetzung,implementation
die Taste,key
dir Tastatur,keyboard
die Lösung,solution
der Befehl,command
der Anwender/Benutzer,user
das Betriebssystem,operating system
der Unterstrich,underscore
das Anführungszeichen,double quotes sign
das Zeichen,sign
die Klammer,parenthesis
die Leertaste,space key
der Schrägstrich,/
der Rückstrich,\
runde Klammer auf,(
runde Klammer zu,)
eckige Klammer auf/zu,[  ]
geschweifte Klammer auf/zu,{  }
öffnende spitze Klammer,<
das Sternchen,*
der Bindestrich,-
das Fragezeichen,?
das Ausrufungszeichen,!
der Punkt,.
der Beistrich,","
der Doppelpunkt,:
der Strichpunkt,;
die Quelle,source
die Rückmeldung,feedback
die Festplatten,hard disk
der Knoten,node
der Platzbedarf,space requirement
die Beauftragung,assignment (task)
die Aussage,statement
die Auswirkung,impact
die Veränderung,change (file content)
der Anhang,attached file
die Anmerkung,comment
die Benachrichtigung,notification
der Stand,status
der Konto,account
der Ausdruck,expression
der Entwurfs,draft/sketch
die Lesbarkeit,readability
die Übersichtlichkeit,clarity
das Einrücken,indentation
die Daten,data
das Datum,date
die Anfrage,request
die Komplexiät,complexity
die Umgebung,environment
der Zeitraum,interval
das Ziel,objective/goal
der Wert,value
der Risiko,risk
die Abteilung,department
die Tätigkeit,activity
die Häufigkeit,frequency
die Transparenz,transparency
die Leistung,performance
die Benutzerfreundlichkeit,usability
die Geschwindigkeit,speed
die Wartezeit,waiting time
der Bereich,area
die Ladung,load
die Gleichzeitigkeit ,concurrency
der Platz,place/location
die Funktion,function
die Vererbung,inheritance
die Klasse,class
die Unterklasse,sub-class
die Oberklasse,super-class
die Methode,method
die Fehlerbehebung,bug-fixing
die Steuerung,control
die Fähigkeit,ability
die Grundlage,basis/fundament
die Tabelle,table (database)
der Bericht,report
die Einstellung,configuration
das Betreiben,operation (deployment)
der Zusammenhang,context
die Domäne,domain
der Dienst,service
der Eintrag,entry
der Zugriff,access (to a file)
der Begriff,term (technical term)
der Zweck,purpose
der Inhalt,content
die Pfeiltaste,arrow key
die Nachfrage,confirmation question (after cmd execution)
die Fehlermeldung,error message
der Zugang,access (physical access)
der Zweifel ,doubt
die Vorschau,preview
die Anmeldedaten,credentials
der Ansprechpartner,contact person
der Umfang,scope
die Abstimmung,vote/poll/coordination
die Anzahl,number
der Pfad,path